Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
Guido al 1900;Recoleta, Capital Federal;USD 1.600;;46;1;1;1;1
Tucuman  al 1500;Barrio Norte, Capital Federal;USD 1.200;$ 230.000 Expensas;90;3;0;1;0
Núñez y Washington - Unidad 202;Coghlan, Capital Federal;$ 540.000;;38;1;0;1;0
Pacheco de Melo  al 2500;Recoleta, Capital Federal;USD 2.200;;83;3;2;2;1
Av. Alvear al 1800;Recoleta, Capital Federal;USD 400;$ 77.700 Expensas;14;1;1;1;0
Paraguay al 4400;Botánico, Palermo;USD 1.000;$ 150.000 Expensas;60;2;1;1;0
Padilla 700;Villa Crespo, Capital Federal;$ 400.000;$ 120.000 Expensas;39;1;0;1;0
Torre Le Parc. Demaria al 4500;Palermo, Capital Federal;USD 15.000;;400;5;4;4;2
Austria  al 2500;Recoleta, Capital Federal;USD 650;;36;1;1;1;0
Parera 100;Recoleta, Capital Federal;USD 3.000;$ 950.000 Expensas;285;5;4;5;1
Migueletes al 500;Las Cañitas, Palermo;$ 350.000;$ 148.000 Expensas;30;1;0;1;0
Humboldt 2457;Palermo, Capital Federal;USD 600;$ 300.000 Expensas;50;2;1;1;0
Av. Libertador al 5300;Belgrano, Capital Federal;USD 2.300;$ 469.000 Expensas;185;4;3;3;1
Posadas al 1100;Recoleta, Capital Federal;USD 1.000;$ 267.665 Expensas;85;3;2;2;1
Soldado de la Independencia 1000;Belgrano, Capital Federal;$ 2.100.000;$ 523.000 Expensas;180;4;3;2;1
Juana Manso 1600;Puerto Madero, Capital Federal;USD 1.300;$ 330.000 Expensas;77;3;2;2;0
CORRIENTES, AVDA. 6365. Entre Leiva y Arenal, concepcion;Chacarita, Capital Federal;$ 480.000;$ 175.000 Expensas;41;1;0;1;1
Moldes al 800;Colegiales, Capital Federal;$ 550.000;$ 100.000 Expensas;28;1;0;1;0
El Salvador  al 4500;Palermo Soho, Palermo;USD 800;$ 227.200 Expensas;38;2;1;1;0
Camila Gorman al 300;Puerto Madero, Capital Federal;USD 1.700;$ 382.000 Expensas;68;2;1;1;1
Arenales  al 1800;Recoleta, Capital Federal;USD 450;$ 171.546 Expensas;40;2;1;1;0
Sinclair al 3000;Palermo, Capital Federal;$ 550.000;$ 150.000 Expensas;37;1;0;1;0
TROLE  350;Parque Patricios, Capital Federal;$ 290.000;$ 90.000 Expensas;16;1;1;0;0
Martha Salotti al 500;Puerto Madero, Capital Federal;USD 4.000;$ 850.000 Expensas;177;4;3;4;0
Martin Coronado 3333;Palermo Chico, Palermo;USD 16.000;$ 7.000.000 Expensas;390;4;3;3;3
Av Juan de Garay 1900;San Cristobal, Capital Federal;$ 330.000;$ 40.000 Expensas;25;1;1;1;0
Av. Alvarez Thomas 900;Colegiales, Capital Federal;USD 720;$ 350.000 Expensas;98;2;1;1;0
Bonpland al 2200;Palermo Hollywood, Palermo;USD 750;$ 150.000 Expensas;50;2;1;1;0
